Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
10.00,0.0122,10.0000,1.2571,0.2200,10.0000,0.0113,10.0000,1.2156,0.1855,,,,,,
11.00,0.0177,10.0000,1.2140,0.2900,11.0000,0.0173,10.0000,1.1617,0.2512,,,,,,
12.00,0.0239,10.0000,1.1825,0.3632,12.0000,0.0246,10.0000,1.1216,0.3248,,,,,,
13.00,0.0304,10.0000,1.1586,0.4381,13.0000,0.0327,10.0000,1.0901,0.4019,,,,,,
14.00,0.0374,10.0000,1.1396,0.5155,14.0000,0.0413,10.0000,1.0646,0.4788,,,,,,
15.00,0.0448,10.0000,1.1233,0.5952,15.0000,0.0501,10.0000,1.0440,0.5542,,,,,,
16.00,0.0528,10.0000,1.1086,0.6783,16.0000,0.0590,10.0000,1.0273,0.6282,,,,,,
17.00,0.0615,10.0000,1.0949,0.7647,17.0000,0.0680,10.0000,1.0137,0.7015,,,,,,
18.00,0.0708,10.0000,1.0818,0.8545,18.0000,0.0771,10.0000,1.0025,0.7752,,,,,,
19.00,0.0808,10.0000,1.0691,0.9478,19.0000,0.0864,10.0000,0.9930,0.8504,,,,,,
20.00,0.0916,10.0000,1.0568,1.0444,20.0000,0.0961,10.0000,0.9847,0.9278,,,,,,
21.00,0.1032,10.0000,1.0447,1.1439,21.0000,0.1063,10.0000,0.9771,1.0084,,,,,,
22.00,0.1155,10.0000,1.0329,1.2459,22.0000,0.1170,10.0000,0.9700,1.0919,,,,,,
23.00,0.1286,10.0000,1.0214,1.3510,23.0000,0.1284,10.0000,0.9630,1.1791,,,,,,
24.00,0.1425,10.0000,1.0101,1.4585,24.0000,0.1404,10.0000,0.9561,1.2690,,,,,,
25.00,0.1571,10.0000,0.9991,1.5677,25.0000,0.1533,10.0000,0.9491,1.3635,,,,,,
26.00,0.1724,10.0000,0.9884,1.6786,26.0000,0.1669,10.0000,0.9421,1.4607,,,,,,
27.00,0.1884,10.0000,0.9780,1.7909,27.0000,0.1813,10.0000,0.9349,1.5606,,,,,,
28.00,0.2051,10.0000,0.9679,1.9049,28.0000,0.1964,10.0000,0.9277,1.6628,,,,,,
29.00,0.2224,10.0000,0.9580,2.0190,29.0000,0.2124,10.0000,0.9203,1.7679,,,,,,
30.00,0.2403,10.0000,0.9485,2.1343,30.0000,0.2291,10.0000,0.9129,1.8747,,,,,,
31.00,0.2588,10.0000,0.9392,2.2499,31.0000,0.2465,10.0000,0.9055,1.9830,,,,,,
32.00,0.2778,10.0000,0.9302,2.3656,32.0000,0.2646,10.0000,0.8981,2.0926,,,,,,
33.00,0.2972,10.0000,0.9214,2.4800,33.0000,0.2833,10.0000,0.8907,2.2027,,,,,,
34.00,0.3171,10.0000,0.9129,2.5948,34.0000,0.3026,10.0000,0.8834,2.3135,,,,,,
35.00,0.3374,10.0000,0.9047,2.7092,35.0000,0.3224,10.0000,0.8761,2.4238,,,,,,
36.00,0.3580,10.0000,0.8967,2.8222,36.0000,0.3427,10.0000,0.8690,2.5346,,,,,,
37.00,0.3789,10.0000,0.8890,2.9344,37.0000,0.3633,10.0000,0.8621,2.6446,,,,,,
38.00,0.4001,10.0000,0.8816,3.0463,38.0000,0.3844,10.0000,0.8552,2.7541,,,,,,
39.00,0.4215,10.0000,0.8743,3.1557,39.0000,0.4058,10.0000,0.8486,2.8636,,,,,,
40.00,0.4431,10.0000,0.8673,3.2644,40.0000,0.4274,10.0000,0.8421,2.9712,,,,,,
41.00,0.4647,10.0000,0.8605,3.3703,41.0000,0.4492,10.0000,0.8357,3.0771,,,,,,
42.00,0.4865,10.0000,0.8539,3.4752,42.0000,0.4712,10.0000,0.8296,3.1828,,,,,,
43.00,0.5084,10.0000,0.8476,3.5794,43.0000,0.4932,10.0000,0.8236,3.2857,,,,,,
44.00,0.5302,10.0000,0.8414,3.6799,44.0000,0.5153,10.0000,0.8179,3.3881,,,,,,
45.00,0.5521,10.0000,0.8355,3.7802,45.0000,0.5375,10.0000,0.8123,3.4888,,,,,,
46.00,0.5738,10.0000,0.8297,3.8767,46.0000,0.5596,10.0000,0.8069,3.5874,,,,,,
47.00,0.5956,10.0000,0.8241,3.9724,47.0000,0.5817,10.0000,0.8017,3.6847,,,,,,
48.00,0.6172,10.0000,0.8187,4.0656,48.0000,0.6037,10.0000,0.7967,3.7803,,,,,,
49.00,0.6386,10.0000,0.8134,4.1556,49.0000,0.6255,10.0000,0.7918,3.8728,,,,,,
50.00,0.6600,10.0000,0.8084,4.2456,50.0000,0.6472,10.0000,0.7871,3.9640,,,,,,
51.00,0.6811,10.0000,0.8034,4.3312,51.0000,0.6687,10.0000,0.7826,4.0535,,,,,,
52.00,0.7020,10.0000,0.7987,4.4161,52.0000,0.6901,10.0000,0.7783,4.1420,,,,,,
53.00,0.7228,10.0000,0.7941,4.4990,53.0000,0.7112,10.0000,0.7741,4.2276,,,,,,
54.00,0.7433,10.0000,0.7896,4.5789,54.0000,0.7321,10.0000,0.7700,4.3109,,,,,,
55.00,0.7635,10.0000,0.7853,4.6570,55.0000,0.7527,10.0000,0.7661,4.3926,,,,,,
56.00,0.7835,10.0000,0.7811,4.7330,56.0000,0.7730,10.0000,0.7623,4.4718,,,,,,
57.00,0.8032,10.0000,0.7771,4.8075,57.0000,0.7931,10.0000,0.7587,4.5502,,,,,,
58.00,0.8226,10.0000,0.7731,4.8785,58.0000,0.8129,10.0000,0.7552,4.6263,,,,,,
59.00,0.8418,10.0000,0.7693,4.9489,59.0000,0.8324,10.0000,0.7518,4.7004,,,,,,
60.00,0.8606,10.0000,0.7656,5.0165,60.0000,0.8515,10.0000,0.7486,4.7729,,,,,,
61.00,0.8791,10.0000,0.7621,5.0832,61.0000,0.8704,10.0000,0.7454,4.8430,,,,,,
62.00,0.8974,10.0000,0.7586,5.1474,62.0000,0.8889,10.0000,0.7424,4.9119,,,,,,
